Threshold,Morph_Kernel,Close_Iter,Open_Iter,Avg_Loss,Success_Rate,Successful,Good_Detections,Good_Rate
50,9,2,4,254.10239,0.1775,71,3,0.0075
50,9,3,1,38.178402,0.7625,305,276,0.69
50,9,3,2,98.70225,0.4575,183,122,0.305
50,9,3,3,238.07297,0.335,134,17,0.0425
50,9,3,4,217.09807,0.2225,89,3,0.0075
50,9,4,1,45.18676,0.775,310,271,0.6775
50,9,4,2,94.192726,0.4725,189,127,0.3175
50,9,4,3,212.37625,0.3675,147,21,0.0525
50,9,4,4,265.6196,0.36,144,4,0.01
60,3,1,1,37.260548,0.8375,335,303,0.7575
60,3,1,2,36.56153,0.8375,335,304,0.76
60,3,1,3,34.382126,0.8375,335,305,0.7625
60,3,1,4,34.365063,0.8175,327,298,0.745
60,3,2,1,39.993187,0.8375,335,298,0.745
60,3,2,2,38.764988,0.8375,335,301,0.7525
60,3,2,3,37.697277,0.8375,335,303,0.7575
60,3,2,4,37.2491,0.82,328,297,0.7425
60,3,3,1,44.809986,0.8375,335,290,0.725
60,3,3,2,43.036697,0.8375,335,292,0.73
60,3,3,3,42.222412,0.8375,335,292,0.73
60,3,3,4,41.776115,0.82,328,288,0.72
60,3,4,1,47.701473,0.8375,335,279,0.6975
60,3,4,2,45.372845,0.8375,335,286,0.715
60,3,4,3,44.923065,0.8375,335,287,0.7175
60,3,4,4,45.940674,0.82,328,281,0.7025
60,5,1,1,39.64166,0.835,334,300,0.75
60,5,1,2,36.98759,0.8075,323,292,0.73
60,5,1,3,48.546944,0.6425,257,224,0.56
60,5,1,4,98.11691,0.43,172,123,0.3075
60,5,2,1,45.298046,0.835,334,289,0.7225
60,5,2,2,42.129326,0.8125,325,288,0.72
60,5,2,3,54.967667,0.6525,261,220,0.55
60,5,2,4,93.5863,0.4575,183,130,0.325
60,5,3,1,47.223217,0.835,334,283,0.7075
60,5,3,2,46.549564,0.815,326,283,0.7075
60,5,3,3,56.760315,0.665,266,218,0.545
60,5,3,4,88.77284,0.4925,197,135,0.3375
60,5,4,1,61.85371,0.835,334,276,0.69
60,5,4,2,48.175694,0.815,326,276,0.69
60,5,4,3,57.27633,0.6775,271,218,0.545
60,5,4,4,85.45805,0.515,206,137,0.3425
60,7,1,1,39.102634,0.835,334,301,0.7525
60,7,1,2,54.121918,0.625,250,213,0.5325
60,7,1,3,131.4968,0.35,140,80,0.2
60,7,1,4,291.29843,0.2025,81,8,0.02
60,7,2,1,43.950275,0.835,334,291,0.7275
60,7,2,2,56.665005,0.645,258,210,0.525
60,7,2,3,111.705345,0.4025,161,94,0.235
60,7,2,4,197.41785,0.2775,111,25,0.0625
60,7,3,1,47.523632,0.835,334,287,0.7175
60,7,3,2,58.802956,0.66,264,211,0.5275
60,7,3,3,105.56702,0.4475,179,101,0.2525
60,7,3,4,168.8333,0.345,138,35,0.0875
60,7,4,1,52.95292,0.835,334,280,0.7
60,7,4,2,64.01414,0.665,266,207,0.5175
60,7,4,3,102.566795,0.4875,195,104,0.26
60,7,4,4,156.09567,0.3775,151,41,0.1025
60,9,1,1,42.332966,0.7875,315,279,0.6975
60,9,1,2,99.76884,0.4225,169,119,0.2975
60,9,1,3,278.43054,0.2175,87,14,0.035
60,9,1,4,346.6272,0.2,80,2,0.005
60,9,2,1,47.831177,0.795,318,273,0.6825
60,9,2,2,94.36968,0.4775,191,128,0.32
60,9,2,3,208.76738,0.2775,111,21,0.0525
60,9,2,4,278.95853,0.2375,95,5,0.0125
60,9,3,1,49.976334,0.795,318,270,0.675
60,9,3,2,92.3871,0.5075,203,134,0.335
60,9,3,3,173.6361,0.3625,145,28,0.07
60,9,3,4,223.64232,0.3175,127,8,0.02
60,9,4,1,52.096245,0.8,320,270,0.675
60,9,4,2,87.69541,0.5275,211,138,0.345
60,9,4,3,156.8026,0.3975,159,37,0.0925
60,9,4,4,203.41125,0.36,144,12,0.03
70,3,1,1,64.67062,0.8375,335,280,0.7
70,3,1,2,53.32036,0.8375,335,283,0.7075
70,3,1,3,49.151447,0.8375,335,284,0.71
70,3,1,4,47.260353,0.8275,331,284,0.71
70,3,2,1,67.62216,0.835,334,261,0.6525
70,3,2,2,62.833904,0.8375,335,269,0.6725
70,3,2,3,59.277256,0.8375,335,273,0.6825
